,省份,城市,nowConfirm,confirm,dead,heal
363,贵州,境外输入,1,1,0,0
364,贵州,贵阳,0,36,1,35
365,贵州,遵义,0,32,0,32
366,贵州,六盘水,0,10,1,9
367,贵州,毕节,0,23,0,23
368,贵州,黔南州,0,17,0,17
369,贵州,安顺,0,4,0,4
370,贵州,黔东南州,0,10,0,10
371,贵州,铜仁,0,10,0,10
372,贵州,黔西南州,0,4,0,4
373,安徽,境外输入,1,1,0,0
374,安徽,黄山,0,9,0,9
375,安徽,池州,0,17,0,17
376,安徽,亳州,0,108,0,108
377,安徽,六安,0,69,0,69
378,安徽,宿州,0,41,0,41
379,安徽,阜阳,0,155,0,155
380,安徽,滁州,0,13,0,13
381,安徽,宣城,0,6,0,6
382,安徽,安庆,0,83,0,83
383,安徽,铜陵,0,29,0,29
384,安徽,淮北,0,27,0,27
385,安徽,马鞍山,0,38,0,38
386,安徽,淮南,0,27,0,27
387,安徽,蚌埠,0,160,5,155
388,安徽,芜湖,0,34,0,34
389,安徽,合肥,0,174,1,173
390,江西,境外输入,1,2,0,1
391,江西,吉安,0,22,0,22
392,江西,南昌,0,230,0,230
393,江西,上饶,0,123,0,123
394,江西,新余,0,130,0,130
395,江西,抚州,0,72,0,72
396,江西,九江,0,118,0,118
397,江西,赣州,0,76,1,75
398,江西,萍乡,0,33,0,33
399,江西,宜春,0,106,0,106
400,江西,鹰潭,0,18,0,18
401,江西,景德镇,0,6,0,6
402,江西,赣江新区,0,1,0,1
403,广西,境外输入,0,2,0,2
404,广西,北海,0,44,1,43
405,广西,防城港,0,19,0,19
406,广西,来宾,0,11,0,11
407,广西,柳州,0,24,0,24
408,广西,南宁,0,55,0,55
409,广西,河池,0,28,1,27
410,广西,桂林,0,32,0,32
411,广西,玉林,0,11,0,11
412,广西,钦州,0,8,0,8
413,广西,贵港,0,8,0,8
414,广西,梧州,0,5,0,5
415,广西,百色,0,3,0,3
416,广西,贺州,0,4,0,4
417,宁夏,境外输入,0,3,0,3
418,宁夏,银川,0,34,0,34
419,宁夏,吴忠,0,28,0,28
420,宁夏,固原,0,5,0,5
421,宁夏,中卫,0,3,0,3
422,宁夏,石嘴山,0,1,0,1
423,宁夏,宁东管委会,0,1,0,1
424,新疆,兵团第九师,0,4,1,3
425,新疆,吐鲁番,0,3,0,3
426,新疆,乌鲁木齐,0,23,0,23
