,省份,城市,nowConfirm,confirm,dead,heal
362,甘肃,平凉,0,9,0,9
363,甘肃,庆阳,0,3,0,3
364,甘肃,白银,0,4,0,4
365,甘肃,甘南州,0,8,0,8
366,甘肃,天水,0,12,0,12
367,甘肃,陇南,0,4,0,4
368,甘肃,临夏,0,3,0,3
369,甘肃,张掖,0,2,0,2
370,甘肃,金昌,0,1,0,1
371,江西,境外输入,0,2,0,2
372,江西,九江,0,118,0,118
373,江西,南昌,0,230,0,230
374,江西,上饶,0,123,0,123
375,江西,新余,0,130,0,130
376,江西,抚州,0,72,0,72
377,江西,吉安,0,22,0,22
378,江西,赣州,0,76,1,75
379,江西,萍乡,0,33,0,33
380,江西,宜春,0,106,0,106
381,江西,鹰潭,0,18,0,18
382,江西,景德镇,0,6,0,6
383,江西,赣江新区,0,1,0,1
384,广西,境外输入,0,2,0,2
385,广西,北海,0,44,1,43
386,广西,防城港,0,19,0,19
387,广西,来宾,0,11,0,11
388,广西,柳州,0,24,0,24
389,广西,南宁,0,55,0,55
390,广西,河池,0,28,1,27
391,广西,桂林,0,32,0,32
392,广西,玉林,0,11,0,11
393,广西,钦州,0,8,0,8
394,广西,贵港,0,8,0,8
395,广西,梧州,0,5,0,5
396,广西,百色,0,3,0,3
397,广西,贺州,0,4,0,4
398,西藏,拉萨,0,1,0,1
399,新疆,兵团第九师,0,4,1,3
400,新疆,吐鲁番,0,3,0,3
401,新疆,乌鲁木齐,0,23,0,23
402,新疆,昌吉州,0,4,0,4
403,新疆,第八师石河子,0,4,1,3
404,新疆,兵团第四师,0,10,1,9
405,新疆,伊犁州,0,18,0,18
406,新疆,六师五家渠,0,2,0,2
407,新疆,兵团第十二师,0,3,0,3
408,新疆,巴州,0,3,0,3
409,新疆,第七师,0,1,0,1
410,新疆,阿克苏,0,1,0,1
411,海南,海口,0,39,0,39
412,海南,儋州,0,15,1,14
413,海南,三亚,0,54,1,53
414,海南,东方,0,3,1,2
415,海南,万宁,0,13,0,13
416,海南,澄迈县,0,9,1,8
417,海南,昌江县,0,7,0,7
418,海南,保亭,0,3,0,3
419,海南,琼海,0,6,1,5
420,海南,临高县,0,6,0,6
421,海南,陵水县,0,4,0,4
